report_id,date,location,asset,report_type,narrative,sif_label,sif_label_reason,source_event_code,source_nature,data_source,narrative_provenance,context_provenance,sector_provenance
OIL-710875-2040,2025-01-05,Tengakhat,Pipeline Section,Incident,"An employee was opening a hatch on a bulk cement truck when pressure inside of the truck caused the hatch cover to slide off and up, striking the employee. The employee sustained a non-displaced pelvis fracture, a right linear temporal fracture and a subdural hematoma.",1,high-energy mechanism (Struck by discharged object or substance),Struck by discharged object or substance,Skull fracture and intracranial injury,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-724379-2041,2025-01-05,Chabua,Pipeline Section,Unsafe Act,An employee was cutting a board with an electric saw. The saw partially amputated the employee's left index finger.,0,low-energy mechanism (Injured by slipping or swinging object held by i),Injured by slipping or swinging object held by injured worker,Amputations,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-728299-2042,2025-01-05,Duliajan,Central Workshop,Unsafe Condition,An employee was using a crane and an L-shaped lifting device to remove a coil of aluminum material off a de-reeler. The L-shaped lifting device got hung up on part of the de-reeler. The L-shaped lifting device slipped off and struck the employee in their right side. The employee sustained internal lacerations to their liver and kidney.,0,no high-energy mechanism identified (Struck by suspended or swinging objects ),Struck by suspended or swinging objects  n.e.c.,"Closed trauma involving internal organs, major blood vessels",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-756317-2043,2025-01-05,Jorajan,Workover Rig,Unsafe Act,An employee was climbing down a ladder and lacerated his left arm above his elbow on an air conditioning duct.,0,no high-energy mechanism identified (Struck against stationary object or equi),"Struck against stationary object or equipment, n.e.c.","Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-758859-2044,2025-01-05,Baghjan,Workover Rig,Incident,An employee was being lifted by an aerial lift to repair a wellhead. The employee's left thumb got crushed and fractured between the aerial lift and the wellhead.,1,high-energy mechanism (Compressed or pinched by shifting objects or equ),Compressed or pinched by shifting objects or equipment,Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-777869-2045,2025-01-05,Digboi,Crude Oil Pump Station,Unsafe Condition,"An employee was troubleshooting a sulfuric acid flow process after the acid was not getting through the system. The employee turned a valve and acid sprayed through a pinhole at a union that was at chest level. The employee suffered injuries from the sulfuric acid striking his chest, left arm, and face.",0,"no high-energy mechanism identified (Exposure through intact skin, eyes, or o)","Exposure through intact skin, eyes, or other exposed tissue","Chemical burns and corrosions, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-802920-2046,2025-01-05,KG Basin - Kakinada,Pipeline Section,Unsafe Condition,An employee was inserting a piece of metal inside a piece of vinyl window profile when she got a splinter. She and a co-worker removed the splinter. Later she went to the doctor to receive further treatment and was hospitalized for an infection.,0,"no high-energy mechanism identified (Struck against object or equipment, unsp)","Struck against object or equipment, unspecified","Puncture wounds, except gunshot wounds",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-826403-2047,2025-01-05,Jaisalmer - Tanot,Gas Compressor Station,Unsafe Condition,An employee was ventilating a building containing a gas leak and the gases ignited when the employee opened the door. The employee suffered first degree burns to the face and neck and second degree burns to both hands.,1,"high-energy mechanism (Ignition of vapors, gases, or liquids)","Ignition of vapors, gases, or liquids",Second degree heat (thermal) burns,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-841831-2048,2025-01-05,Baghjan,Drilling Rig,Unsafe Act,"An assembler was using a cordless drill with a 3/8"" bit to drill through a fiberglass reinforced panel on a truck when the drill bit went through the steel wall of the truck cab and grabbed onto his glove. The right index fingertip was amputated.",0,low-energy mechanism (Injured by slipping or swinging object held by i),Injured by slipping or swinging object held by injured worker,Amputations,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-865045-2049,2025-01-05,Duliajan,Crude Oil Pump Station,Unsafe Act,"On July 11, 2025, an employee was preparing bar joists to be secured to a boom lift. The bar joists were sitting vertically on the ground. One of the bar joists fell, striking the employee's lower right leg. The tibia and fibula were fractured.",0,no high-energy mechanism identified (Struck by object tipping over),Struck by object tipping over,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-960195-2050,2025-01-05,Duliajan,Oil Collecting Station,Near Miss,"An employee slipped in a parking lot and fell to the ground, suffering a head laceration and a concussion.",0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Concussions,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-121434-2051,2025-01-06,Baghjan,Drilling Rig,Unsafe Act,An employee slipped on a wet floor and fractured her lower leg.,0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-122918-2052,2025-01-06,Chabua,Crude Oil Pump Station,Unsafe Condition,"During a work break at 9:20 AM on February 13, 2015, an employee was walking behind the building to his car in the parking lot and slipped on an ice patch. The employee sustained compressed fractures of the T2 and T5 cervical discs.",0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-157230-2053,2025-01-06,Kusijan,Workover Rig,Unsafe Act,"A boiler operator was sitting on a bucket, watching the boiler feed system. He fell while standing up, landing on the floor and breaking his left hip.",0,no high-energy mechanism identified (Fall while sitting),Fall while sitting,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-194115-2054,2025-01-06,Dikom,Well Head,Unsafe Condition,"An employee slipped on a puddle of water on a cafeteria floor, fell to the floor, and broke her kneecap. She was hospitalized, requiring surgery.",0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-200858-2055,2025-01-06,Duliajan,Central Workshop,Unsafe Condition,An employee was stepping out of her mail truck in a parking lot. She slipped in a water puddle and broke her right ankle.,0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-209805-2056,2025-01-06,Tengakhat,Pipeline Section,Incident,"An employee tripped over metal tracks on the floor of a work site. He fell, breaking his hip. He was hospitalized.",0,low-energy mechanism (Fall on same level due to tripping over an objec),Fall on same level due to tripping over an object,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-333498-2057,2025-01-06,Duliajan,Central Workshop,Unsafe Condition,"While exiting the doghouse of a nitrogen unit, an employee fell from a ladder to the ground, suffering a back injury.",1,"high-energy mechanism (Other fall to lower level, unspecified)","Other fall to lower level, unspecified","Soreness, pain, hurt-nonspecified injury",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-342300-2058,2025-01-06,KG Basin - Kakinada,Pipeline Section,Unsafe Act,An employee was servicing the puller at the end of a press when the puller moved and struck his knees. He was hospitalized.,0,"no high-energy mechanism identified (Struck by object or equipment, unspecifi)","Struck by object or equipment, unspecified","Soreness, pain, hurt-nonspecified injury",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-373421-2059,2025-01-06,Digboi,LPG Plant,Near Miss,An employee was removing groove filler from a vinyl extrusion piece using a handheld cutting tool. The tool lacerated the back of the employee's left hand and the employee was hospitalized.,0,low-energy mechanism (Injured by slipping or swinging object held by i),Injured by slipping or swinging object held by injured worker,"Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-441767-2060,2025-01-06,Kusijan,Drilling Rig,Near Miss,"An employee was grabbing a winch to make a pipe connection on the rig floor when his finger was crushed between the winch cable and the power swivel, partially amputating his pinky finger.",1,"high-energy mechanism (Caught in or compressed by equipment or objects,)","Caught in or compressed by equipment or objects, unspecified",Amputations,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-487573-2061,2025-01-06,Baghjan,Drilling Rig,Near Miss,An employee was walking in the warehouse and fell breaking the lower left leg.,0,"low-energy mechanism (Fall on same level, unspecified)","Fall on same level, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-596306-2062,2025-01-06,Digboi,LPG Plant,Incident,"An employee fell to an office floor, landing on her right side and suffering a broken hip, a broken right arm, and a concussion. She was hospitalized, requiring surgery.",0,low-energy mechanism (Fall on same level  unspecified),Fall on same level  unspecified,"Injuries to the brain, spinal cord and severe wounds, internal injuries",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-714432-2063,2025-01-06,Naharkatiya,Well Head,Near Miss,An employee was walking between two pallets when they tripped and fell to the concrete floor. The employee sustained head bleeding and knee injuries.,0,"low-energy mechanism (Fall on same level due to tripping, unspecified)","Fall on same level due to tripping, unspecified","Open wounds, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-750528-2064,2025-01-06,Dikom,Well Head,Unsafe Act,The injured employee was cleaning the assembly bench workstation at the end of his shift. Another employee used an 8-inch metal scribe to stab the injured employee on the side of the head by the ear.,0,"no high-energy mechanism identified (Stabbing, cutting, slashing, piercing)","Stabbing, cutting, slashing, piercing","Puncture wounds, except gunshot wounds",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-826035-2065,2025-01-06,Digboi,Crude Oil Pump Station,Unsafe Condition,An employee was cleaning up the site when they were struck by debris thrown from the roof resulting in a fractured neck.,0,no high-energy mechanism identified (Struck by thrown object-unintentional in),Struck by thrown object-unintentional injury,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-840259-2066,2025-01-06,KG Basin - Kakinada,Gas Compressor Station,Unsafe Act,"While resetting the pressure switch on an HVAC unit, an employee lacerated their finger.",0,"no high-energy mechanism identified (Contact with objects and equipment, unsp)","Contact with objects and equipment, unspecified","Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-201558-2067,2025-01-07,Digboi,Crude Oil Pump Station,Near Miss,An employee working at a pump station was hospitalized after being found unconscious on a metal staircase. He was treated for a concussion and shoulder and hip contusions.,0,no high-energy mechanism identified (Nonclassifiable),Nonclassifiable,Concussions,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-297534-2068,2025-01-07,Moran,Oil Collecting Station,Unsafe Act,"The injured employee was outside the building talking to another employee. As the injured employee went to lean back on the railing, he fell onto his left side and suffered a broken hip.",0,"low-energy mechanism (Fall on same level, n.e.c.)","Fall on same level, n.e.c.",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-315382-2069,2025-01-07,Hapjan,Group Gathering Station,Incident,"An employee sandblasting a pipeline. The sandblasting medium was not blowing well, so he approached the compressor; when the hose was disconnected, the machine sandblasted his left hand. He was hospitalized.",1,high-energy mechanism (Struck by discharged object or substance),Struck by discharged object or substance,"Abrasions, scratches",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-377357-2070,2025-01-07,Duliajan,Central Workshop,Unsafe Condition,An employee was changing out hoses on rig substructure scaffolding when he stepped back and fell through an edge of the scaffolding within the rig substructure. The employee fell 18 feet to the ground in an open cellar and sustained a fractured left tibia and a compression fracture to their T12 vertebra.,1,high-energy mechanism (Other fall to lower level  6 to 30 feet),Other fall to lower level  6 to 30 feet,Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-396349-2071,2025-01-07,Jaisalmer - Dandewala,Gas Compressor Station,Unsafe Act,"After removing an air hose and a 1/2-inch nipple from a line that was being tested, a plug in the line hit and injured both of the employee's hands.",1,"high-energy mechanism (Struck by dislodged flying object, particle)","Struck by dislodged flying object, particle","Soreness, pain, hurt-nonspecified injury",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-421079-2072,2025-01-07,Moran,Well Head,Near Miss,"An employee was cleaning the production area floor when she slipped on soap and fell, hitting the floor on her right side. The employee's right hip was broken.",0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-426117-2073,2025-01-07,Digboi,Crude Oil Pump Station,Unsafe Condition,An employee was unloading a rail car alone and was found on the ground with a laceration under the left eye. The employee did not remember what happened and there were no witnesses. A 50-pound tool was found near the injured employee.,0,no high-energy mechanism identified (Nonclassifiable),Nonclassifiable,"Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-584966-2074,2025-01-07,Naharkatiya,Well Head,Unsafe Act,An employee was working on a bridge site when he tripped on angle iron and fell onto rebar. He suffered an injury to the parotid gland on the right side of his face.,0,low-energy mechanism (Fall on same level due to tripping over an objec),Fall on same level due to tripping over an object,"Soreness, pain, hurt-nonspecified injury",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-658038-2075,2025-01-07,KG Basin - Kakinada,Gas Compressor Station,Unsafe Act,"An employee was using a pry bar to pry form work when his right pinky finger was crushed between the pry bar and the form work. His fingertip fractured and he lost the fingernail, requiring surgery and hospitalization.",0,low-energy mechanism (Injured by slipping or swinging object held by i),Injured by slipping or swinging object held by injured worker,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-738817-2076,2025-01-07,Dikom,Well Head,Unsafe Condition,An employee was walking around a table in the topping department when she slipped and fell to the concrete floor. The employee sustained injuries to her left hip and knee and was hospitalized.,0,low-energy mechanism (Fall on same level due to slip or trip),Fall on same level due to slip or trip,Traumatic injuries or exposures  unspecified,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-767999-2077,2025-01-07,Hapjan,Group Gathering Station,Unsafe Act,"An employee was standing next to an excavator. The excavator turned and the employee was struck by the excavator's counterweight. The employee fell over into a sump hole and struck his body against a steel plate. The employee suffered a broken jaw, broken ribs, punctured lung, and broken left elbow. The employee was hospitalized.",1,"high-energy mechanism (Other fall to lower level, unspecified)","Other fall to lower level, unspecified",Internal injuries to organs and blood vessels of the trunk,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-794262-2078,2025-01-07,Tengakhat,Pipeline Section,Unsafe Act,"An employee was getting a bucket of water off a scaffold. He jumped off the scaffold, striking his right heel against the ground and fracturing it.",0,"no high-energy mechanism identified (Other jump to lower level, unspecified)","Other jump to lower level, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-868459-2079,2025-01-07,Hapjan,Workover Rig,Near Miss,An employee experienced severe leg cramps and abdominal pains while working in the heat.,0,low-energy mechanism (Exposure to environmental heat),Exposure to environmental heat,"Effects of heat and light, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-903374-2080,2025-01-07,Baghjan,Drilling Rig,Unsafe Act,"An employee was helping a coworker drill pilot holes through a wooden block. The coworker was operating the drill while the employee checked the hole alignment when the drill bit cut through the block and contacted the employee s right index finger, amputating it to the first knuckle.",0,low-energy mechanism (Injured by slipping or swinging object held by o),Injured by slipping or swinging object held by other person,Amputations,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-980105-2081,2025-01-07,Jaisalmer - Tanot,Drilling Rig,Near Miss,"An employee slipped and fell while walking through the facility, suffering a fractured ankle.",0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-128673-2082,2025-01-08,KG Basin - Kakinada,Gas Compressor Station,Unsafe Act,"An employee suffered a laceration after brushing against steel coils, requiring surgery and hospitalization.",0,no high-energy mechanism identified (Struck against stationary object or equi),"Struck against stationary object or equipment, n.e.c.","Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-162318-2083,2025-01-08,Duliajan,Central Workshop,Near Miss,"An employee was adjusting a supersack load. The load came down and the chain hoist struck the employee, who suffered a concussion.",0,no high-energy mechanism identified (Struck by suspended or swinging objects ),Struck by suspended or swinging objects  n.e.c.,Concussions,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-175533-2084,2025-01-08,Tengakhat,Pipeline Section,Near Miss,"An employee was in a poultry pen when he slipped and fell onto his back, resulting in a back injury.",0,low-energy mechanism (Fall on same level due to slip or trip),Fall on same level due to slip or trip,Traumatic injuries or exposures  unspecified,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-230667-2085,2025-01-08,Barekuri,Group Gathering Station,Unsafe Condition,"The employee was on break in the hallway and engaged in horseplay with another employee. As the employee turned to run, he lost his footing and fell to the floor. The employee was hospitalized for a back injury requiring surgery.",0,no high-energy mechanism identified (Injured by physical contact during horse),Injured by physical contact during horseplay,"Soreness, pain, hurt-nonspecified injury",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-237338-2086,2025-01-08,Chabua,Pipeline Section,Unsafe Act,"On 10/07/15 at approximately 10:10 pm, a Goodman employee was returning from break when he slipped on some oil on the floor in the coil department and fell. The employee has been admitted to the hospital for evaluation.",0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,"Soreness, pain, hurt-nonspecified injury",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-302207-2087,2025-01-08,Digboi,LPG Plant,Unsafe Condition,An employee was doing a patch repair on a pipe and experienced an inhalation reaction to the epoxy material in the patch while heating it.,1,high-energy mechanism (Inhalation of harmful substance-single episode),Inhalation of harmful substance-single episode,"Poisoning, toxic, noxious, or allergenic effect, unspecified",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-408392-2088,2025-01-08,Tengakhat,Pipeline Section,Near Miss,"An employee was stripping a wire at a job site when he lacerated his wrist or arm and went to get a bandage out of his truck. He then passed out and hit his head on the truck or ground, sustaining head injuries.",0,"low-energy mechanism (Fall on same level, n.e.c.)","Fall on same level, n.e.c.","Intracranial injuries, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-509164-2089,2025-01-08,Naharkatiya,Group Gathering Station,Unsafe Condition,An employee's left ring and pinky fingers were smashed between the top of a tank and a handrail on a gas buster tank. His left ring finger was partially amputated.,1,"high-energy mechanism (Caught in or compressed by equipment or objects,)","Caught in or compressed by equipment or objects, unspecified",Amputations,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-687359-2090,2025-01-08,Jorajan,Workover Rig,Unsafe Act,An employee was hospitalized with an infection after a piece of metal became stuck in his right hand while he was moving a metal table.,0,no high-energy mechanism identified (Struck against object or equipment while),Struck against object or equipment while moving it,"Puncture wounds, except gunshot wounds",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-711564-2091,2025-01-08,Makum,Crude Oil Pump Station,Incident,"An employee was helping the driver of a winch truck back up and hook up to a tank. When the driver was close enough to the tank to hook up, the employee told him to stop and set the brakes. The driver did stop and set the brakes, but the truck was still in gear and jerked backwards when his foot came off of the clutch. The employee had moved between the truck and the tank to connect the winch line and was struck causing a fracture of the right femur.",1,high-energy mechanism (Caught between rolling powered vehicle and other),Caught between rolling powered vehicle and other object,Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-729590-2092,2025-01-08,Dikom,Well Head,Unsafe Condition,An employee had been working on the line applying molding. The employee was hospitalized with dehydration and renal failure.,0,low-energy mechanism (Exposure to environmental heat),Exposure to environmental heat,"Effects of heat and light, n.e.c.",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-775487-2093,2025-01-08,Duliajan,Central Workshop,Unsafe Act,An employee was operating a concrete coring machine. The machine got hung-up in the concrete causing the machine to jerk and the employee to fall fracturing a hip.,0,"low-energy mechanism (Fall on same level, n.e.c.)","Fall on same level, n.e.c.",Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-791754-2094,2025-01-08,Duliajan,Crude Oil Pump Station,Near Miss,"An employee was rigging some 2-inch manifold piping near a well head when some of the piping tipped and struck the employee's lower left leg, causing a compound fracture.",1,"high-energy mechanism (Struck by falling object or equipment, unspecifi)","Struck by falling object or equipment, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-838842-2095,2025-01-08,Digboi,Central Workshop,Unsafe Act,"An employee slipped and caught his finger between two pieces of equipment. As the crossover sub fell, he was unable to remove his finger in time. He also broke his wrist.",1,"high-energy mechanism (Caught in or compressed by equipment or objects,)","Caught in or compressed by equipment or objects, unspecified",Amputations,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-878702-2096,2025-01-08,Moran,Workover Rig,Unsafe Condition,"A temporary employee was cleaning when he made contact with a winged tail pulley, lacerating his arm and fracturing his elbow.",0,"no high-energy mechanism identified (Struck against object or equipment, unsp)","Struck against object or equipment, unspecified",Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-881256-2097,2025-01-08,Moran,Oil Collecting Station,Incident,An employee was hospitalized for knee pain after performing shoring activities.,0,no high-energy mechanism identified (Nonclassifiable),Nonclassifiable,"Soreness, pain, hurt-nonspecified injury",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-892479-2098,2025-01-08,Jaisalmer - Tanot,Gas Compressor Station,Unsafe Act,"An employee was walking on the production floor when they slipped and fell, striking their right leg on a metal conduit running through the floor. The employee's right lower leg was broken.",0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-925452-2099,2025-01-08,Digboi,Central Workshop,Unsafe Act,"On September 7, 2016, an employee working on insulating pipes was hospitalized for possible heat illness.",0,low-energy mechanism (Exposure to environmental heat),Exposure to environmental heat,"Effects of heat and light, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-934848-2100,2025-01-08,Digboi,Central Workshop,Unsafe Act,An employee was pulling a metal cart with a plastic roll on it toward a flatbed truck. His left little finger was caught between the cart handle and a piece of metal pipe on the truck. The finger was lacerated and the employee was hospitalized.,0,no high-energy mechanism identified (Struck by rolling object or equipment be),Struck by rolling object or equipment being pushed by injured worker,"Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-962374-2101,2025-01-08,Tengakhat,Pipeline Section,Unsafe Condition,"An employee was unlocking a saddle so it could latch around the pin that was holding it in place. When it was unlocked, it released down and caught and amputated the employee's left middle fingertip.",1,high-energy mechanism (Compressed or pinched by shifting objects or equ),Compressed or pinched by shifting objects or equipment,Amputations,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-982092-2102,2025-01-08,Digboi,Central Workshop,Unsafe Act,"An employee was in a trailer helping to unload furniture when his foot was caught in the trailer opening. He stumbled and fell onto the floor, breaking his knee/leg.",0,low-energy mechanism (Fall on same level due to tripping on uneven sur),Fall on same level due to tripping on uneven surface,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-185492-2103,2025-01-09,Digboi,Crude Oil Pump Station,Near Miss,"An employee was attaching hooks to an upright storage tank when the tank moved, causing the employee to fall approximately 7 feet from the ladder to the concrete below. The employee suffered a fractured wrist and damaged heel.",1,high-energy mechanism (Other fall to lower level 6 to 10 feet),Other fall to lower level 6 to 10 feet,Fractures,OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-190201-2104,2025-01-09,Dikom,Drilling Rig,Unsafe Condition,"On November 9, 2021, at 7:00 p.m., an employee was handling mail in a warehouse when they slipped and fell to the floor, resulting in injuries to their back and the back of their head.",0,low-energy mechanism (Fall on same level due to slipping),Fall on same level due to slipping,"Soreness, pain, hurt-nonspecified injury",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-270882-2105,2025-01-09,Hapjan,Group Gathering Station,Unsafe Condition,"While reaching into a crate of parts, an employee was bitten on the right hand by a spider. The employee was hospitalized.",0,"low-energy mechanism (Bites and stings, unspecified)","Bites and stings, unspecified","Traumatic injuries and disorders, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-397024-2106,2025-01-09,Moran,Well Head,Near Miss,"An employee was conducting work on the 60-feet-high platform of an oil derrick, operating rigging to move piping into position. The employee became sick, vomited, experienced cramps, and was eventually hospitalized for heat-related health issues.",0,low-energy mechanism (Exposure to environmental heat),Exposure to environmental heat,"Effects of heat and light, unspecified",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-536691-2107,2025-01-09,Chabua,Crude Oil Pump Station,Unsafe Condition,"An employee was hanging a sign on a security post at ground level in a parking lot. They turned and tripped over a curb and fell to the ground, resulting in a fractured left wrist and a laceration to the left side of the forehead.",0,low-energy mechanism (Fall on same level due to slip or trip),Fall on same level due to slip or trip,"Fractures and surface, flesh wounds",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-538649-2108,2025-01-09,Duliajan,Oil Collecting Station,Near Miss,An employee was performing maintenance on an engine when some of the fluid got on his hands and burned them.,0,no high-energy mechanism identified (Exposure to harmful substances or enviro),"Exposure to harmful substances or environments, unspecified","Burns and corrosions, unspecified",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-662148-2109,2025-01-09,Duliajan,Central Workshop,Unsafe Condition,An employee was outside grinding metal for duct work when a spark or piece of metal blew inside his jacket and ignited it. He suffered 3rd degree burns on his torso and arms and was hospitalized for treatment.,0,no high-energy mechanism identified (Ignition of clothing from controlled hea),Ignition of clothing from controlled heat source,Third or fourth degree heat (thermal) burns,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-793497-2110,2025-01-09,Jorajan,Workover Rig,Unsafe Act,"On April 16, 2018. an employee tripped on a door threshold and fell to the floor, requiring hospitalization for a fractured hip.",0,low-energy mechanism (Fall on same level due to tripping over an objec),Fall on same level due to tripping over an object,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-793671-2111,2025-01-09,Naharkatiya,Group Gathering Station,Unsafe Condition,"An employee was working outside putting materials together when they began feeling weak, fatigued, and nauseous. They also experienced abdominal cramping and dehydration due to heat.",0,low-energy mechanism (Exposure to environmental heat),Exposure to environmental heat,"Effects of heat and light, n.e.c.",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-799788-2112,2025-01-09,Digboi,Central Workshop,Unsafe Condition,An employee was cutting wood on a band saw when the blade cut his right hand.,0,no high-energy mechanism identified (Struck against moving part of machinery ),Struck against moving part of machinery or equipment,"Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,oil_gas
OIL-274719-2113,2025-01-10,Digboi,LPG Plant,Incident,An employee was dumping trash in the dumpster when he experienced a headache coupled with nausea and cramping. He was taken to the hospital where he received fluids and was kept overnight for observation.,0,low-energy mechanism (Exposure to environmental heat),Exposure to environmental heat,"Effects of heat and light, unspecified",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-280576-2114,2025-01-10,Jaisalmer - Tanot,Gas Compressor Station,Unsafe Condition,"On February 16, 2017, at approximately 3:05 p.m., an employee was walking through the shop when he stepped into a deep hole in the concrete floor, twisted his ankle, and fell, fracturing his left shoulder.",0,low-energy mechanism (Fall on same level due to tripping on uneven sur),Fall on same level due to tripping on uneven surface,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-307908-2115,2025-01-10,Duliajan,Crude Oil Pump Station,Near Miss,An employee was hospitalized for treatment of a foot infection the developed as a result of a laceration by a piece of concrete.,0,no high-energy mechanism identified (Nonclassifiable),Nonclassifiable,"Cuts, lacerations",OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
OIL-311374-2116,2025-01-10,Duliajan,Central Workshop,Near Miss,An employee's shoelace was caught on a strap hook on the bottom pallet in a stack. The employee fell to the floor and suffered a broken hip.,0,low-energy mechanism (Fall on same level due to tripping over an objec),Fall on same level due to tripping over an object,Fractures,OSHA Severe Injury Reports (public),real,synthetic,industrial_analogue
